date,area,instrument,mu_hat,sigma_hat,mean,variance,skewness,kurtosis
2009-10-30,EU,cap,1.02,0.011374815719505866,1.02,0.00012938643265271777,0.0,3.0
2009-11-30,EU,cap,1.02,0.010780277051974967,1.02,0.0001162143733173381,0.0,3.0
2009-12-31,EU,cap,1.02,0.01105922759967607,1.02,0.00012230651510143693,0.0,3.0
2010-01-29,EU,cap,1.02,0.011601852767730538,1.02,0.00013460298764409674,0.0,3.0
2010-02-26,EU,cap,1.02,0.011640283442359987,1.02,0.00013549619861848007,0.0,3.0
2010-03-31,EU,cap,1.02,0.011579103512148275,1.02,0.00013407563814504453,0.0,3.0
2010-04-30,EU,cap,1.02,0.011898185015769351,1.02,0.00014156680666947832,0.0,3.0
2010-05-31,EU,cap,1.02,0.01182927902811465,1.02,0.00013993184232499305,0.0,3.0
2010-06-30,EU,cap,1.05,0.008598629102962212,1.05,7.393642245030873e-05,0.0,3.0
2010-07-30,EU,cap,1.02,0.011007857358378326,1.02,0.00012117292362240387,0.0,3.0
2010-08-31,EU,cap,1.02,0.010959245021115656,1.02,0.00012010505143284829,0.0,3.0
2010-09-30,EU,cap,1.02,0.011480951771105814,1.02,0.00013181225357045774,0.0,3.0
2010-10-29,EU,cap,1.02,0.010733131659751729,1.02,0.0001152001152255649,0.0,3.0
2010-11-30,EU,cap,1.02,0.009395929765322945,1.02,8.828349615488169e-05,0.0,3.0
2010-12-31,EU,cap,1.02,0.009872039552173322,1.02,9.745716491967445e-05,0.0,3.0
2011-01-31,EU,cap,1.02,0.01020516706754924,1.02,0.00010414543487659155,0.0,3.0
2011-02-28,EU,cap,1.02,0.009608113088390217,1.02,9.231583711929539e-05,0.0,3.0
2011-03-31,EU,cap,1.02,0.009410707457939699,1.02,8.856141485892187e-05,0.0,3.0
2011-04-29,EU,cap,1.02,0.010181279896154256,1.02,0.00010365846032383483,0.0,3.0
2011-05-31,EU,cap,1.02,0.010749449893960887,1.02,0.00011555067302277574,0.0,3.0
